Canton_code,Canton_nom,Annee,Arrivees,Departs,Solde_migratoire
AG,Argovie,2014,14223.0,12404.0,1819.0
AG,Argovie,2015,14413.0,12912.0,1501.0
AG,Argovie,2016,14818.0,12782.0,2036.0
AG,Argovie,2017,15020.0,12845.0,2175.0
AG,Argovie,2018,15036.0,13161.0,1875.0
AG,Argovie,2019,15546.0,13505.0,2041.0
AG,Argovie,2020,16442.0,13673.0,2769.0
AG,Argovie,2021,16949.0,13520.0,3429.0
AG,Argovie,2022,16011.0,13396.0,2615.0
AG,Argovie,2023,16932.0,13804.0,3128.0
AI,Appenzell Rhodes-Intérieures,2014,413.0,395.0,18.0
AI,Appenzell Rhodes-Intérieures,2015,447.0,415.0,32.0
AI,Appenzell Rhodes-Intérieures,2016,421.0,429.0,-8.0
AI,Appenzell Rhodes-Intérieures,2017,408.0,451.0,-43.0
AI,Appenzell Rhodes-Intérieures,2018,430.0,483.0,-53.0
AI,Appenzell Rhodes-Intérieures,2019,402.0,498.0,-96.0
AI,Appenzell Rhodes-Intérieures,2020,520.0,445.0,75.0
AI,Appenzell Rhodes-Intérieures,2021,453.0,459.0,-6.0
AI,Appenzell Rhodes-Intérieures,2022,492.0,450.0,42.0
AI,Appenzell Rhodes-Intérieures,2023,436.0,464.0,-28.0
AR,Appenzell Rhodes-Extérieures,2014,2161.0,2058.0,103.0
AR,Appenzell Rhodes-Extérieures,2015,2145.0,2074.0,71.0
AR,Appenzell Rhodes-Extérieures,2016,2144.0,2190.0,-46.0
AR,Appenzell Rhodes-Extérieures,2017,2126.0,2075.0,51.0
AR,Appenzell Rhodes-Extérieures,2018,2004.0,2203.0,-199.0
AR,Appenzell Rhodes-Extérieures,2019,2155.0,2123.0,32.0
AR,Appenzell Rhodes-Extérieures,2020,1935.0,2241.0,-306.0
AR,Appenzell Rhodes-Extérieures,2021,2182.0,2025.0,157.0
AR,Appenzell Rhodes-Extérieures,2022,2033.0,2124.0,-91.0
AR,Appenzell Rhodes-Extérieures,2023,2128.0,2070.0,58.0
BE,Berne,2014,12605.0,11893.0,712.0
BE,Berne,2015,13140.0,12284.0,856.0
BE,Berne,2016,12980.0,12232.0,748.0
BE,Berne,2017,12477.0,12113.0,364.0
BE,Berne,2018,12589.0,12532.0,57.0
BE,Berne,2019,12891.0,12816.0,75.0
BE,Berne,2020,13240.0,12990.0,250.0
BE,Berne,2021,13329.0,13146.0,183.0
BE,Berne,2022,12982.0,13278.0,-296.0
BE,Berne,2023,13235.0,13305.0,-70.0
BL,Bâle-Campagne,2014,7034.0,6199.0,835.0
BL,Bâle-Campagne,2015,7129.0,6516.0,613.0
BL,Bâle-Campagne,2016,7438.0,6604.0,834.0
BL,Bâle-Campagne,2017,7111.0,6409.0,702.0
BL,Bâle-Campagne,2018,7030.0,6716.0,314.0
BL,Bâle-Campagne,2019,7027.0,6560.0,467.0
BL,Bâle-Campagne,2020,7577.0,6884.0,693.0
BL,Bâle-Campagne,2021,7889.0,6478.0,1411.0
BL,Bâle-Campagne,2022,7311.0,6243.0,1068.0
BL,Bâle-Campagne,2023,7114.0,6272.0,842.0
BS,Bâle-Ville,2014,5023.0,6575.0,-1552.0
BS,Bâle-Ville,2015,5174.0,6659.0,-1485.0
BS,Bâle-Ville,2016,5312.0,7030.0,-1718.0
